sampleid	tissueid	master_ccl_id	sample_availability	ccle_primary_hist
697	haematopoietic_and_lymphoid_tissue	1	ccle;public	lymphoid_neoplasm
5637	urinary_tract	3	ccle;public	carcinoma
2313287	stomach	4	ccle;public	carcinoma
1321N1	central_nervous_system	5	ccle	glioma
143B	bone	6	ccle	osteosarcoma
22RV1	prostate	7	ccle;public	carcinoma
253J	urinary_tract	8	ccle;public	carcinoma
253JBV	urinary_tract	9	ccle;public	carcinoma
42MGBA	central_nervous_system	10	ccle;public	glioma
59M	ovary	13	ccle	carcinoma
639V	urinary_tract	14	ccle;public	carcinoma
647V	urinary_tract	15	ccle;public	carcinoma
769P	kidney	16	ccle;public	carcinoma
786O	kidney	19	ccle;public	carcinoma
8305C	thyroid	20	ccle;public	carcinoma
8505C	thyroid	21	ccle;public	carcinoma
8MGBA	central_nervous_system	22	ccle;public	glioma
A101D	skin	23	ccle;public	malignant_melanoma
A1207	central_nervous_system	24	ccle	glioma
A172	central_nervous_system	25	ccle;public	glioma
A204	soft_tissue	26	ccle;public	rhabdoid_tumor
A2058	skin	27	ccle;public	malignant_melanoma
A253	salivary_gland	28	ccle;public	carcinoma
A2780	ovary	29	ccle;public	carcinoma
A375	skin	30	ccle;public	malignant_melanoma
A3KAW	haematopoietic_and_lymphoid_tissue	31	ccle;public	lymphoid_neoplasm
A498	kidney	33	ccle;public	carcinoma
A4FUK	haematopoietic_and_lymphoid_tissue	34	ccle;public	lymphoid_neoplasm
A549	lung	35	ccle;public	carcinoma
A673	bone	37	ccle;public	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor
A704	kidney	39	ccle	carcinoma
ABC1	lung	40	ccle	carcinoma
ACCMESO1	pleura	41	ccle;public	mesothelioma
ACCS	urinary_tract	42	ccle	carcinoma
ACHN	kidney	43	ccle;public	carcinoma
AGS	stomach	44	ccle;public	carcinoma
ALLSIL	haematopoietic_and_lymphoid_tissue	46	ccle;public	lymphoid_neoplasm
AM38	central_nervous_system	47	ccle;public	glioma
AML193	haematopoietic_and_lymphoid_tissue	48	ccle;public	haematopoietic_neoplasm
AMO1	haematopoietic_and_lymphoid_tissue	49	ccle;public	lymphoid_neoplasm
AN3CA	endometrium	50	ccle;public	carcinoma
ASPC1	pancreas	52	ccle;public	carcinoma
AU565	breast	53	ccle;public	carcinoma
AZ521	stomach	54	ccle	carcinoma
BC3C	urinary_tract	55	ccle;public	carcinoma
BCP1	haematopoietic_and_lymphoid_tissue	56	ccle;public	lymphoid_neoplasm
BCPAP	thyroid	57	ccle;public	carcinoma
BDCM	haematopoietic_and_lymphoid_tissue	58	ccle;public	lymphoid_neoplasm
BECKER	central_nervous_system	59	ccle;public	glioma
BEN	lung	60	ccle;public	carcinoma
BFTC905	urinary_tract	61	ccle;public	carcinoma
BFTC909	kidney	62	ccle;public	carcinoma
BHT101	thyroid	64	ccle;public	carcinoma
BHY	upper_aerodigestive_tract	65	ccle;public	carcinoma
BICR16	upper_aerodigestive_tract	66	ccle;public	carcinoma
BICR18	upper_aerodigestive_tract	67	ccle;public	carcinoma
BICR22	upper_aerodigestive_tract	68	ccle;public	carcinoma
BICR31	upper_aerodigestive_tract	69	ccle;public	carcinoma
BICR56	upper_aerodigestive_tract	70	ccle;public	carcinoma
BICR6	upper_aerodigestive_tract	71	ccle;public	carcinoma
BJHTERT	skin	73	ccle	
BL41	haematopoietic_and_lymphoid_tissue	74	ccle;public	lymphoid_neoplasm
BL70	haematopoietic_and_lymphoid_tissue	75	ccle;public	lymphoid_neoplasm
BT112		77	collaborator	
BT131		78	collaborator	
BT139		79	collaborator	
BT145		80	collaborator	
BT147		81	collaborator	
BT159		82	collaborator	
BT164		83	collaborator	
BT172		84	collaborator	
BT179		85	collaborator	
BT187		88	collaborator	
BT20	breast	90	ccle;public	carcinoma
BT216		91	collaborator	
BT224		92	collaborator	
BT228		93	collaborator	
BT231		94	collaborator	
BT239		95	collaborator	
BT248		96	collaborator	
BT474	breast	97	ccle;public	carcinoma
BT483	breast	98	ccle	carcinoma
BT549	breast	99	ccle;public	carcinoma
BV173	haematopoietic_and_lymphoid_tissue	100	ccle;public	haematopoietic_neoplasm
BXPC3	pancreas	101	ccle;public	carcinoma
C2BBE1	large_intestine	102	ccle;public	carcinoma
C32	skin	103	ccle;public	malignant_melanoma
C3A	liver	104	ccle	carcinoma
CA46	haematopoietic_and_lymphoid_tissue	106	ccle;public	lymphoid_neoplasm
CADOES1	bone	108	ccle;public	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor
CAKI1	kidney	109	ccle;public	carcinoma
CAKI2	kidney	110	ccle;public	carcinoma
CAL120	breast	111	ccle;public	carcinoma
CAL12T	lung	112	ccle;public	carcinoma
CAL148	breast	113	ccle;public	carcinoma
CAL27	upper_aerodigestive_tract	114	ccle;public	carcinoma
CAL29	urinary_tract	115	ccle;public	carcinoma
CAL33	upper_aerodigestive_tract	116	ccle;public	carcinoma
CAL51	breast	117	ccle;public	carcinoma
CAL54	kidney	118	ccle;public	carcinoma
CAL62	thyroid	119	ccle;public	carcinoma
CAL78	bone	120	ccle;public	chondrosarcoma
CAL851	breast	121	ccle;public	carcinoma
CALU1	lung	122	ccle;public	carcinoma
CALU3	lung	123	ccle;public	carcinoma
CALU6	lung	124	ccle;public	carcinoma
CAMA1	breast	125	ccle;public	carcinoma
CAOV3	ovary	126	ccle;public	carcinoma
CAOV4	ovary	127	ccle	carcinoma
CAPAN1	pancreas	128	ccle;public	carcinoma
CAPAN2	pancreas	129	ccle;public	carcinoma
CAS1	central_nervous_system	130	ccle;public	glioma
CCFSTTG1	central_nervous_system	131	ccle;public	glioma
CCK81	large_intestine	132	ccle;public	carcinoma
CFPAC1	pancreas	138	ccle;public	carcinoma
CGTHW1	thyroid	139	ccle;public	carcinoma
CH157MN	central_nervous_system	140	ccle	meningioma
CHAGOK1	lung	141	ccle;public	carcinoma
CHL1	skin	142	ccle	malignant_melanoma
CHP126	autonomic_ganglia	143	ccle;public	neuroblastoma
CHP212	autonomic_ganglia	144	ccle;public	neuroblastoma
CI1	haematopoietic_and_lymphoid_tissue	145	ccle;public	lymphoid_neoplasm
CJM	skin	146	ccle;public	malignant_melanoma
CL11	large_intestine	147	ccle;public	carcinoma
CL14	large_intestine	148	ccle	carcinoma
CL34	large_intestine	149	ccle;public	carcinoma
CL40	large_intestine	150	ccle	carcinoma
CMK	haematopoietic_and_lymphoid_tissue	151	ccle;public	haematopoietic_neoplasm
CMK115	haematopoietic_and_lymphoid_tissue	152	ccle	haematopoietic_neoplasm
CMK86	haematopoietic_and_lymphoid_tissue	153	ccle	haematopoietic_neoplasm
CMLT1	haematopoietic_and_lymphoid_tissue	154	ccle;public	haematopoietic_neoplasm
COLO201	large_intestine	155	ccle;public	carcinoma
COLO205	large_intestine	156	ccle;public	carcinoma
COLO320	large_intestine	157	ccle;public	carcinoma
COLO668	lung	158	ccle;public	carcinoma
COLO677	haematopoietic_and_lymphoid_tissue	159	ccle	lymphoid_neoplasm
