master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles	treatmentid
1788	CIL55	BRD-K46556387	10	probe	pilot-set		screening hit	Columbia University		CN(C)CCNC(=O)c1cc2CSc3cc(Cl)ccc3-c2s1	CIL55
3588	BRD4132	BRD-K86574132	160	probe	chromatin;pilot-set		screening hit	ChemDiv Inc.	4998-1380	CC(C)N1C(=O)S\C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O	BRD4132
12877	BRD6340	BRD-K35716340	33	probe	chromatin;pilot-set		screening hit	ChemDiv Inc.	1988-0090	C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1	BRD6340
17712	ML006	BRD-K89692698	530	probe	pilot-set	S1PR3	agonist of sphingosine 1-phosphate receptor 3	Enamine Ltd.	Z1037336336	C1CN(CCO1)c1nnc(-c2ccccc2)c(n1)-c1ccccc1	ML006
18311	Bax channel blocker	BRD-A18763547	33	probe	pilot-set	BAX	inhibitor of BAX-mediated mitochondrial cytochrome c release	Maybridge	RJC01737	OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12	Bax channel blocker
19153	BRD9876	BRD-K89329876	130	probe	pilot-set		screening hit	Sigma-Aldrich	425265	CC(C)(C)c1ccc2cc(C#N)c(cc2c1)C#N	BRD9876
23151	tretinoin	BRD-K64634304	130	FDA	chromatin;pilot-set	RARA;RARB;RARG	agonist of retinoid acid receptors	Sigma-Aldrich;Sigma-Aldrich	R2625;R2625-50MG	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C	tretinoin
23256	betulinic acid	BRD-K45401373	66	probe	chromatin;lit-search		natural product; inhibitor of specificity protein 1 transcription factor in cells	Tocris Bioscience	3906	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O	betulinic acid
24173	phloretin	BRD-K15563106	590	probe	pilot-set	SLC5A1	natural product; inhibitor of glucose uptake	Sigma-Aldrich	P7912	Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1	phloretin
24197	thalidomide	BRD-A93255169	66	FDA	CTEP;kinome	CRBN	immunomodulatory drug; binder of cereblon	Selleck	S1193	O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12	thalidomide
25036	gossypol	BRD-K19295594	37	clinical	CTEP;pilot-set	BCL2;BCL2L1;LDHA;LDHB;LDHC	inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members	ChemDiv Inc.;Sigma-Aldrich	N010-0015;G8761	CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O	gossypol
25334	chlorambucil	BRD-K29458283	270	FDA	std-of-care		DNA alkylator	Sigma-Aldrich	C0253	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl	chlorambucil
25344	fluorouracil	BRD-K24844714	130	FDA	std-of-care	TYMS	pyrimidine analog; inhibitor of thymidylate synthase	Selleck	S1209	Fc1c[nH]c(=O)[nH]c1=O	fluorouracil
25393	isoliquiritigenin	BRD-K33583600	33	probe	pilot-set		natural product	MicroSource Discovery Systems Inc.	01504200	Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O	isoliquiritigenin
26870	cimetidine	BRD-K34157611	270	FDA	lit-search	HRH2	inhibitor of histidine receptor H2	Tocris Bioscience	0902	CN\C(NCCSCc1nc[nH]c1C)=N/C#N	cimetidine
26874	azacitidine	BRD-K03406345	66	FDA	CTEP;std-of-care	DNMT1	inhibitor of DNA methyltransferase	Selleck	S1782	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	azacitidine
26914	trifluoperazine	BRD-K89732114	33	FDA	pilot-set	DRD2	antagonist of dopamine receptor D2	Toronto Research Chemicals	T779200	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1	trifluoperazine
26956	paclitaxel	BRD-A28746609	66	FDA	std-of-care		inhibitor of microtubule assembly	Selleck	S1150	CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1	paclitaxel
26972	tamoxifen	BRD-K93754473	100	FDA	chromatin;std-of-care	ESR1;ESR2	modulator of estrogen receptors	Sigma-Aldrich	T5648	CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	tamoxifen
26979	carboplatin	BRD-K11626735	66	FDA	std-of-care		inducer of DNA damage	Selleck	S1215	O=C1O[Pt]OC(=O)C11CCC1	carboplatin
27871	teniposide	BRD-A35588707	33	FDA	pilot-set	TOP2A;TOP2B	inhibitor of topoisomerase II	MicroSource Discovery Systems Inc.	01504094	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12	teniposide
27872	sildenafil	BRD-K50128260	530	FDA	pilot-set	PDE5A	inhibitor of phosphodiesterase 5A	Toronto Research Chemicals	S435000	CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4	sildenafil
27894	simvastatin	BRD-K22134346	33	FDA	pilot-set	HMGCR	inhibitor of HMG-CoA reductase	Tocris Bioscience	1965	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12	simvastatin
28172	parbendazole	BRD-K02407574	66	probe	pilot-set		inhibitor of microtubule assembly	Sigma-Aldrich	PH009945	CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1	parbendazole
28183	procarbazine	BRD-K13032584	66	FDA	std-of-care		inducer of DNA damage	Selleck	S1995	CNNCc1ccc(cc1)C(=O)NC(C)C	procarbazine
28452	curcumin	BRD-K74148702	170	clinical	pilot-set		natural product; modulator of ROS; modulator of NF-kappa-B signaling	Cayman	81025	COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O	curcumin
28784	ciclopirox	BRD-K13044802	66	FDA	lit-search	RRM1	substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase	Sigma-Aldrich	C0415	Cc1cc(C2CCCCC2)n(O)c(=O)c1	ciclopirox
28801	epigallocatechin-3-monogallate	BRD-K55591206	300	probe	pilot-set		natural product	Selleck	S2250	Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1	epigallocatechin-3-monogallate
29985	myricetin	BRD-K43149758	66	probe	lit-search		flavonoid antioxidant	Selleck	S2326	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O	myricetin
30371	methotrexate	BRD-K59456551	66	FDA	std-of-care	DHFR	inhibitor of dihydrofolate reductase	Selleck	S1210	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	methotrexate
30620	lovastatin	BRD-A70155556	130	FDA	pilot-set	HMGCR	inhibitor of HMG-CoA reductase	AnalytiCon Discovery GmbH	NP-001236	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12	lovastatin
32372	valdecoxib	BRD-K12994359	600	FDA	pilot-set	PTGS2	inhibitor of cyclooxygenase-2 (COX2)	Sigma-Aldrich;Sigma-Aldrich	PA0179;PZ0179	Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1	valdecoxib
32620	cyclophosphamide	BRD-A09722536	130	FDA	std-of-care		DNA alkylator	Sigma-Aldrich	C0768	ClCCN(CCCl)P1(=O)NCCCO1	cyclophosphamide
32622	dacarbazine	BRD-K35520305	66	FDA	std-of-care		DNA alkylator	Selleck	S1221	CN(C)\N=N\c1[nH]cnc1C(N)=O	dacarbazine
32653	niclosamide	BRD-K35960502	33	FDA	lit-search	STAT3	inhibitor of STAT3 signaling	Sigma-Aldrich	N3510	Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	niclosamide
33166	prochlorperazine	BRD-K19352500	66	FDA	lit-search	DRD2	inhibitor of dopamine receptor D2	Tocris Bioscience	3287	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1	prochlorperazine
35319	ifosfamide	BRD-A67097164	66	FDA	std-of-care		DNA alkylator	Selleck	S1302	ClCCNP1(=O)OCCCN1CCCl	ifosfamide
36599	doxorubicin	BRD-K92093830	66	FDA	std-of-care	TOP2A	inhibitor of topoisomerase II	Selleck	S1208	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO	doxorubicin
37190	ouabain	BRD-K35708212	270	probe	lit-search	ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4	cardiac glycoside; inhibitor of the Na+/K+-ATPase	Tocris Bioscience	1076	C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O	ouabain
37479	BRD9647	BRD-K05649647	33	probe	pilot-set		screening hit	ChemBridge Corporation	7910659	COc1ccc(cc1)N(C(=O)c1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC	BRD9647
39782	piperlongumine	BRD-K24132293	33	probe	pilot-set		natural product; modulator of ROS levels	Broad Institute of MIT and Harvard		COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCC=CC1=O	piperlongumine
